area_name,N_lat,S_lat,W_long,E_long
M-34-100-B-b-1-4,49.3124967559857,49.2916690118739,19.9058680189988,19.9378952409454
M-34-101-A-a-2-2,49.3333293115727,49.3125043590982,20.0932887335957,20.1254747066565
M-34-101-A-c-2-3,49.2291616666664,49.2083380885035,20.0620536313502,20.0942097237521
M-34-100-B-a-3-4,49.2708315872264,49.2500022042334,19.7809211934338,19.8128420557627
M-34-100-B-c-4-1,49.2083314021381,49.187502381637,19.812158756959,19.8441043854647
M-34-101-A-a-3-3,49.2708301177461,49.2500036800909,19.9995792126289,20.0316842187509
M-34-101-A-a-4-1,49.291661639685,49.2708381130788,20.062052572856,20.0942108016795
M-34-100-B-a-1-4,49.3124976057603,49.2916682399228,19.7809207845528,19.8128426244562
M-34-100-B-a-4-3,49.2708313715092,49.2500024209357,19.8121580377399,19.8441052813754
M-34-100-B-b-4-2,49.2916624292837,49.2708374175244,19.9683420262281,20.0004213240399
M-34-101-A-c-2-1,49.2499956036281,49.2291701839434,20.062053202125,20.0942100878932
M-34-101-A-c-3-1,49.2083301104775,49.1875036173708,19.9995800947892,20.0316832086144
M-34-100-B-a-2-4,49.3124971815617,49.2916686007132,19.8433943265837,19.8753689932756
M-34-100-B-c-1-2,49.2499976120821,49.2291682653525,19.7809214018043,19.8128417809443
M-34-100-B-d-2-2,49.2499963958899,49.2291694862357,19.9683426446221,20.0004206885411
M-34-101-A-b-1-4,49.3124948283136,49.2916708826034,20.155762721973,20.1880006133877
M-34-101-A-c-1-2,49.2499958708769,49.2291699115263,20.0308163958064,20.0629470466378
M-34-100-B-b-2-3,49.3124965865482,49.2916692359666,19.9371049250979,19.9691584268982
M-34-100-B-c-2-4,49.2291632120077,49.2083365814336,19.8433954063805,19.8753678406156
M-34-101-A-a-3-1,49.2916621382368,49.2708376376623,19.9995789219763,20.0316844828774
M-34-101-A-c-3-4,49.1874959137621,49.1666699009931,20.0308173038258,20.0629460304305
M-34-101-A-a-1-2,49.3333298669945,49.3125039167615,20.0308150120154,20.0629482510903
M-34-101-A-a-3-2,49.2916619359046,49.2708378699567,20.0308157245598,20.0629475512082
M-34-100-B-a-4-1,49.2916634079673,49.2708363985362,19.8121578871819,19.8441054628115
M-34-100-B-a-4-4,49.2708311542114,49.2500025585311,19.8433949163835,19.8753684062279
