110,48
133,48
155,48
178,48
201,48
224,48
246,48
269,48
292,48
314,48
337,48
360,48
382,48
405,48
428,48
450,48
473,48
496,48
518,48
541,48
564,48
586,48
609,48
632,48
654,48
677,48
110,71
133,71
155,71
178,71
201,71
224,71
246,71
269,71
292,71
314,71
337,71
360,71
382,71
405,71
428,71
450,71
473,71
496,71
518,71
541,71
564,71
586,71
609,71
632,71
654,71
87,94
110,94
133,94
155,94
178,94
201,94
224,94
246,94
269,94
292,94
314,94
337,94
360,94
382,94
405,94
428,94
450,94
473,94
496,94
518,94
541,94
564,94
586,94
609,94
632,94
654,94
87,118
110,118
133,118
155,118
178,118
201,118
224,118
246,118
269,118
292,118
314,118
337,118
360,118
382,118
405,118
428,118
450,118
473,118
496,118
518,118
541,118
564,118
586,118
110,141
133,141
155,141
178,141
201,141
224,141
246,141
269,141
292,141
314,141
337,141
360,141
382,141
405,141
428,141
450,141
473,141
496,141
518,141
541,141
564,141
586,141
110,164
133,164
155,164
178,164
201,164
224,164
246,164
269,164
292,164
314,164
337,164
360,164
382,164
405,164
428,164
450,164
473,164
496,164
518,164
541,164
564,164
586,164
87,188
110,188
133,188
155,188
178,188
201,188
224,188
246,188
269,188
292,188
314,188
337,188
360,188
382,188
405,188
428,188
450,188
473,188
496,188
518,188
541,188
564,188
586,188
87,211
110,211
133,211
155,211
178,211
201,211
224,211
246,211
269,211
292,211
314,211
337,211
360,211
382,211
405,211
428,211
450,211
473,211
496,211
518,211
541,211
564,211
65,234
87,234
110,234
133,234
155,234
178,234
201,234
224,234
246,234
269,234
292,234
314,234
337,234
360,234
382,234
405,234
428,234
450,234
473,234
496,234
518,234
541,234
65,258
87,258
110,258
133,258
155,258
178,258
201,258
224,258
246,258
269,258
292,258
314,258
337,258
360,258
382,258
405,258
428,258
450,258
473,258
496,258
518,258
541,258
42,281
65,281
87,281
110,281
133,281
155,281
178,281
201,281
224,281
246,281
382,281
405,281
428,281
450,281
473,281
496,281
518,281
541,281
42,305
65,305
87,305
110,305
133,305
155,305
178,305
201,305
224,305
246,305
405,305
428,305
450,305
473,305
496,305
518,305
541,305
42,328
65,328
87,328
110,328
133,328
155,328
178,328
201,328
224,328
405,328
428,328
450,328
473,328
496,328
518,328
155,352
178,352
201,352
450,352
473,352
496,352
518,352
496,375
518,375
